code,sigla,nombre,sector,funcion_legal,estrategico,ventas_2023_bs,ventas_2024_bs,ventas_2025_bs,gasto_2023_bs,gasto_2024_bs,gasto_2025_bs,ebitda_2025_bs,cash_neto_sigep_2025_bs,apoyo_estado_tgn_re_2025_bs,aportes_capital_acumulado_bs,cuentas_por_cobrar_2025_bs,dias_cobro,resultados_acumulados_bs,capital_pagado_bs,m9_pct_perdida_sobre_capital,m17_dependencia_estado_pct,m15_roic_pct,arquetipo,trayectoria,recomendacion,confianza,fuente_pdf,ficha_url
2301,GERES,Empresa Municipal de Gestión de Residuos Sólidos,Servicios Municipales,municipal,no,5320968.96,5509170.6,5607920.31,10381505.4,10086400.95,11423373.25,-4781499.010000001,2640800.88,,11138424.03,1892510.38,106,-1748271.82,11138424.03,-12.1,0,,10. Distrés Mixto — Análisis Específico Requerido,—,DIAGNÓSTICO ESPECÍFICO — Análisis Sector/Contexto,alta,https://romer288.github.io/empresas-publicas-bolivia/2301_GERES.html,2301_GERES.html
2302,EMAPAS,Empresa Municipal de Agua Potable y Alcantarillado Sacaba,Agua,municipal,sí,4313761.31,4432744.59,0,11857576.63,12406000.91,0,,,5679981.7,0,0,,,0,,68.95,,2. Colapso Multidimensional,Trayectoria Adversa,REESTRUCTURAR PROFUNDAMENTE — URGENTE,media,https://romer288.github.io/empresas-publicas-bolivia/2302_EMAPAS.html,2302_EMAPAS.html
2303,EMAVRA,Empresa Municipal de Areas Verdes y Recreación Alternativa,Servicios Municipales,municipal,no,117446519.84,109721002.29,103606279.13,111331737.68,105297237.5,104076252.25,16703659.439999998,1335517.78,,48177144.93,50043538.88,167,-105578433.93,48177144.93,-212.8,0,,10. Distrés Mixto — Análisis Específico Requerido,—,DIAGNÓSTICO ESPECÍFICO — Análisis Sector/Contexto,alta,https://romer288.github.io/empresas-publicas-bolivia/2303_EMAVRA.html,2303_EMAVRA.html
2312,EMAPAV,EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO VIACHA,Agua,municipal,sí,5189027.54,5315047.68,0,5545125.16,6523650.02,0,,,,0,0,,,0,,0,,9. Datos Insuficientes,—,"DIAGNÓSTICO PARCIAL — Distrés Detectado al 2024, Completar Datos 2025",media,https://romer288.github.io/empresas-publicas-bolivia/2312_EMAPAV.html,2312_EMAPAV.html
2314,EMAVS,EMPRESA MUNICIPAL DE AREAS VERDES SUCRE,Servicios Municipales,municipal,no,13620747.66,15082676.74,15254735.52,16505659.08,16925852.67,17933432.68,119830.09999999963,770501.58,,1857615.7,155504.69,24,-6873228.1,1857615.7,-359.5,0,,2. Colapso Multidimensional,Trayectoria Estable,CERRAR (o PRIVATIZAR si activos recuperables),alta,https://romer288.github.io/empresas-publicas-bolivia/2314_EMAVS.html,2314_EMAVS.html
2315,EMSA,Empresa Municipal de Servicio de Aseo,Servicios Municipales,municipal,no,123073582.03,123262221.9,131175578.42,116633393.42,116329951.95,129610070.54,28827789.459999993,263413.04,,26117478.89,72363929.54,189,13913544.29,26117478.89,16.9,0,9.88,7. Bajo Desempeño Estructural,Trayectoria Estable,PRIVATIZAR,alta,https://romer288.github.io/empresas-publicas-bolivia/2315_EMSA.html,2315_EMSA.html
2316,EMAVERDE,"Empresa Municipal de Áreas Verdes, Parques y Forestación",Servicios Municipales,municipal,no,55105637.83,62611942.19,0,59983531.5,64422721.57,0,,,,0,0,,,0,,0,,9. Datos Insuficientes,—,"DIAGNÓSTICO PARCIAL — Distrés Detectado al 2024, Completar Datos 2025",media,https://romer288.github.io/empresas-publicas-bolivia/2316_EMAVERDE.html,2316_EMAVERDE.html
2317,EMAVIAS,Empresa Municipal de Asfaltos y Vías,Construcción,municipal,no,50696780.09,48691090.81,32198983.79,64594792.17,57827194.33,52251478.85,-6928457.000000007,2175069.13,,38587753.23,42140642.82,547,-44231755.4,38587753.23,-105.6,0,,2. Colapso Multidimensional,Trayectoria Adversa,CERRAR (o PRIVATIZAR si activos recuperables) — URGENTE,alta,https://romer288.github.io/empresas-publicas-bolivia/2317_EMAVIAS.html,2317_EMAVIAS.html
2320,EPSA COBIJA,EMPRESA PUBLICA MUNICIPAL DE SERVICIOS DE AGUA Y ALCANTARRILLADO SANITARIO DE COBIJA,Agua,municipal,sí,7644650.67,9071583.95,9663963.79,8679128.27,9903125.44,10424578.28,-191518.4299999997,48337.75,,5290531.02,3568244.51,131,-2006006.01,5290531.02,-37.9,0,,10. Distrés Mixto — Análisis Específico Requerido,—,DIAGNÓSTICO ESPECÍFICO — Análisis Sector/Contexto,alta,https://romer288.github.io/empresas-publicas-bolivia/2320_EPSA_COBIJA.html,2320_EPSA_COBIJA.html
2327,EMAPYC,EMPRESA MUNICIPAL AUTONOMA DE AGUA POTABLE Y ALCANTARILLADO DE YACUIBA,Agua,municipal,sí,14890787.52,14549966.22,16019449.6,14623901.16,15202594.87,17056136.41,835960.8399999999,9199564.1,,46440099.74,7792419.5,159,-19634321.64,46440099.74,-33.7,0,,10. Distrés Mixto — Análisis Específico Requerido,—,DIAGNÓSTICO ESPECÍFICO — Análisis Sector/Contexto,alta,https://romer288.github.io/empresas-publicas-bolivia/2327_EMAPYC.html,2327_EMAPYC.html
2328,EMAPAU,EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE URIONDO,Agua,municipal,sí,198567,129550,0,205650.6,104442.03,0,,,,0,0,,,0,,0,,9. Datos Insuficientes,—,"DIAGNÓSTICO PARCIAL — Distrés Detectado al 2024, Completar Datos 2025",media,https://romer288.github.io/empresas-publicas-bolivia/2328_EMAPAU.html,2328_EMAPAU.html
2330,SETAR,Empresa Pública Departamental De Servicios Eléctricos Tarija - Setar,Energía,municipal,sí,,,,,,,,,,,,,,,,,,9. Datos Insuficientes,—,PENDIENTE — Solicitar Estados Financieros / Verificar si la Entidad los Produce,baja,https://romer288.github.io/empresas-publicas-bolivia/2330_SETAR.html,2330_SETAR.html
2336,FCCCP-EPD,Empresa Pública Departamental Fábrica De Calaminas Y Clavos Potosí,Industria,comercial,no,,,,,,,,,,,,,,,,,,9. Datos Insuficientes,—,PENDIENTE — Solicitar Estados Financieros / Verificar si la Entidad los Produce,baja,https://romer288.github.io/empresas-publicas-bolivia/2336_FCCCP-EPD.html,2336_FCCCP-EPD.html
2338,EPSA MUNICIPAL,EMPRESA PRESTADORA DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO,Agua,municipal,sí,1351654.14,1147597.4,1025204.15,3260996.7,3165213.36,3219140.87,-24057.010000000126,612876.71,,18356909.59,300,0,-10171136.22,18356909.59,-53.8,0,,1. Operacionalmente Defuncto,—,LIQUIDAR,alta,https://romer288.github.io/empresas-publicas-bolivia/2338_EPSA_MUNICIPAL.html,2338_EPSA_MUNICIPAL.html
2339,EMUJOYAS,EMPRESA MUNICIPAL FABRICA DE JOYAS,Industria,municipal,no,253344.34,405474.22,0,803330.33,777502.18,0,,,114000.88,0,0,,,0,,21.91,,2. Colapso Multidimensional,Trayectoria Estable,CERRAR (o PRIVATIZAR si activos recuperables),media,https://romer288.github.io/empresas-publicas-bolivia/2339_EMUJOYAS.html,2339_EMUJOYAS.html
2341,EMDELL,EMPRESA MUNICIPAL DE DISTRIBUCION DE ENERGIA ELECTRICA LLALLAGUA,Energía,municipal,sí,77162.75,8530219.54,10848431.99,9420086.65,9113889.53,10048622.15,1682686.580000002,1067806.43,,771751.75,2611773.4,73,479172.06,771751.75,62.1,0,76.26,7. Bajo Desempeño Estructural,Trayectoria Estable,REESTRUCTURAR OPERACIONAL,alta,https://romer288.github.io/empresas-publicas-bolivia/2341_EMDELL.html,2341_EMDELL.html
2351,KALLPAWAWA,LABORATORIO INDUSTRIAL DE PRODUCTOS NATURALES KALLPAWANA,Industria,cultural,no,0,0,187486,0,0,214124.38,13231.619999999995,12915.41,180922.88,262050,0,,13837.29,262050,5.3,0,,9. Datos Insuficientes,—,"DIAGNÓSTICO PARCIAL — Distrés Detectado al 2025, Completar Datos 2023, 2024",media,https://romer288.github.io/empresas-publicas-bolivia/2351_KALLPAWAWA.html,2351_KALLPAWAWA.html
2353,EMAPAR,EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE RIVERALTA,Agua,municipal,sí,0,2144334.08,2131207.23,0,1904466.07,3725636.4,-287831.93000000017,181968.3,,163934817.44,497830.87,85,-79432339.17,163934817.44,-48.5,27279.06,,9. Datos Insuficientes,—,"DIAGNÓSTICO PARCIAL — Distrés Detectado al 2025, Completar Datos 2023",media,https://romer288.github.io/empresas-publicas-bolivia/2353_EMAPAR.html,2353_EMAPAR.html
2354,EPSA-COROICO,EMPRESA PRESTADORA DE SERVICIOS DE AGUA Y ALCANTARILLADO (EPSA-COROICO),Agua,municipal,sí,0,524065.07,1253554.92,0,514919.63,1196877.76,386212.32,95415.1,,179638.63,0,,9145.44,179638.63,5.1,48.82,80.53,9. Datos Insuficientes,—,PENDIENTE — Completar Estados Financieros Faltantes (2023),media,https://romer288.github.io/empresas-publicas-bolivia/2354_EPSA-COROICO.html,2354_EPSA-COROICO.html
